Gmt time,Open,High,Low,Close,Volume
07.03.2020 12:00:00.000,1673.548,1673.548,1673.548,1673.548,0
07.03.2020 13:00:00.000,1673.548,1673.548,1673.548,1673.548,0
07.03.2020 14:00:00.000,1673.548,1673.548,1673.548,1673.548,0
07.03.2020 15:00:00.000,1673.548,1673.548,1673.548,1673.548,0
07.03.2020 16:00:00.000,1673.548,1673.548,1673.548,1673.548,0
07.03.2020 17:00:00.000,1673.548,1673.548,1673.548,1673.548,0
07.03.2020 18:00:00.000,1673.548,1673.548,1673.548,1673.548,0
07.03.2020 19:00:00.000,1673.548,1673.548,1673.548,1673.548,0
07.03.2020 20:00:00.000,1673.548,1673.548,1673.548,1673.548,0
07.03.2020 21:00:00.000,1673.548,1673.548,1673.548,1673.548,0
07.03.2020 22:00:00.000,1673.548,1673.548,1673.548,1673.548,0
07.03.2020 23:00:00.000,1673.548,1673.548,1673.548,1673.548,0
08.03.2020 00:00:00.000,1673.548,1673.548,1673.548,1673.548,0
08.03.2020 01:00:00.000,1673.548,1673.548,1673.548,1673.548,0
08.03.2020 02:00:00.000,1673.548,1673.548,1673.548,1673.548,0
08.03.2020 03:00:00.000,1673.548,1673.548,1673.548,1673.548,0
08.03.2020 04:00:00.000,1673.548,1673.548,1673.548,1673.548,0
08.03.2020 05:00:00.000,1673.548,1673.548,1673.548,1673.548,0
08.03.2020 06:00:00.000,1673.548,1673.548,1673.548,1673.548,0
08.03.2020 07:00:00.000,1673.548,1673.548,1673.548,1673.548,0
08.03.2020 08:00:00.000,1673.548,1673.548,1673.548,1673.548,0
08.03.2020 09:00:00.000,1673.548,1673.548,1673.548,1673.548,0
08.03.2020 10:00:00.000,1673.548,1673.548,1673.548,1673.548,0
08.03.2020 11:00:00.000,1673.548,1673.548,1673.548,1673.548,0
08.03.2020 12:00:00.000,1673.548,1673.548,1673.548,1673.548,0
08.03.2020 13:00:00.000,1673.548,1673.548,1673.548,1673.548,0
08.03.2020 14:00:00.000,1673.548,1673.548,1673.548,1673.548,0
08.03.2020 15:00:00.000,1673.548,1673.548,1673.548,1673.548,0
08.03.2020 16:00:00.000,1673.548,1673.548,1673.548,1673.548,0
08.03.2020 17:00:00.000,1673.548,1673.548,1673.548,1673.548,0
08.03.2020 18:00:00.000,1673.548,1673.548,1673.548,1673.548,0
08.03.2020 19:00:00.000,1673.548,1673.548,1673.548,1673.548,0
08.03.2020 20:00:00.000,1673.548,1673.548,1673.548,1673.548,0
08.03.2020 21:00:00.000,1673.548,1673.548,1673.548,1673.548,0
08.03.2020 22:00:00.000,1694.895,1701.458,1678.725,1697.995,2429059.9823
08.03.2020 23:00:00.000,1697.995,1703.318,1691.748,1700.078,3809669.9715
09.03.2020 00:00:00.000,1700.048,1702.848,1690.235,1699.968,5683730.1254
09.03.2020 01:00:00.000,1699.968,1702.968,1695.158,1700.888,8089920.0439
09.03.2020 02:00:00.000,1700.898,1701.308,1690.928,1694.625,6677680.0156
09.03.2020 03:00:00.000,1694.625,1694.958,1674.298,1681.345,7483423.233
09.03.2020 04:00:00.000,1681.345,1681.345,1657.308,1662.475,5514633.1787
09.03.2020 05:00:00.000,1662.465,1676.948,1659.398,1663.105,6479859.8289
09.03.2020 06:00:00.000,1663.095,1673.908,1662.405,1669.358,4712369.9188
09.03.2020 07:00:00.000,1669.358,1685.258,1668.498,1681.368,6778850.0786
09.03.2020 08:00:00.000,1681.345,1682.578,1670.368,1675.305,5445390.2245
09.03.2020 09:00:00.000,1675.358,1676.978,1661.698,1665.188,4853630.0659
09.03.2020 10:00:00.000,1665.142,1680.048,1662.828,1678.148,3389559.9842
09.03.2020 11:00:00.000,1678.245,1681.548,1674.438,1675.848,3167560.1006
09.03.2020 12:00:00.000,1675.868,1680.455,1671.518,1677.548,5996119.976
09.03.2020 13:00:00.000,1677.608,1685.718,1665.988,1671.735,9487170.2194
09.03.2020 14:00:00.000,1671.688,1677.318,1663.108,1673.188,9846349.7162
09.03.2020 15:00:00.000,1673.268,1673.898,1665.000,1665.000,7953040.123
09.03.2020 16:00:00.000,1665.000,1672.108,1661.765,1671.768,8662639.6179
09.03.2020 17:00:00.000,1671.808,1676.628,1668.308,1672.605,7771639.8239
09.03.2020 18:00:00.000,1672.685,1677.598,1671.238,1676.928,6980989.933
09.03.2020 19:00:00.000,1676.968,1681.458,1671.098,1677.255,5227799.8924
09.03.2020 20:00:00.000,1677.408,1680.198,1674.908,1680.118,1499230.0272
09.03.2020 21:00:00.000,1680.118,1680.118,1680.118,1680.118,0
09.03.2020 22:00:00.000,1679.668,1680.398,1670.478,1671.318,1589225.0538
09.03.2020 23:00:00.000,1671.318,1671.318,1662.565,1666.415,3800040.0066
10.03.2020 00:00:00.000,1666.415,1671.365,1662.318,1663.848,5955029.9644
10.03.2020 01:00:00.000,1663.895,1671.338,1661.485,1669.388,6871829.9866
10.03.2020 02:00:00.000,1669.358,1670.645,1666.345,1668.735,5207719.8029
10.03.2020 03:00:00.000,1668.735,1669.545,1665.558,1666.585,3928790.0925
10.03.2020 04:00:00.000,1666.575,1668.175,1664.158,1664.618,3582129.9553
10.03.2020 05:00:00.000,1664.618,1664.845,1651.215,1651.545,6247630.1193
10.03.2020 06:00:00.000,1651.565,1663.158,1649.248,1661.598,6173319.8166
10.03.2020 07:00:00.000,1661.608,1666.648,1657.985,1662.045,7111090.1833
10.03.2020 08:00:00.000,1662.055,1667.418,1660.145,1661.338,7184189.7964
10.03.2020 09:00:00.000,1661.338,1664.458,1657.185,1658.388,6400430.2025
10.03.2020 10:00:00.000,1658.425,1661.988,1655.778,1661.948,3995879.8885
10.03.2020 11:00:00.000,1662.028,1664.938,1660.568,1662.055,3621750.1163
10.03.2020 12:00:00.000,1662.025,1667.458,1659.595,1662.875,5554029.9416
10.03.2020 13:00:00.000,1662.835,1665.908,1651.205,1653.575,7202650.0702
10.03.2020 14:00:00.000,1653.665,1660.578,1649.915,1658.458,8295359.6115
10.03.2020 15:00:00.000,1658.468,1660.728,1652.388,1654.435,11090789.7949
10.03.2020 16:00:00.000,1654.388,1657.188,1651.195,1654.025,8323240.2802
10.03.2020 17:00:00.000,1654.025,1661.745,1653.115,1657.765,8024379.7302
10.03.2020 18:00:00.000,1657.725,1659.898,1650.875,1653.875,4057970.047
10.03.2020 19:00:00.000,1653.855,1654.005,1641.495,1641.965,5085440.1588
10.03.2020 20:00:00.000,1641.995,1650.418,1641.855,1648.948,1304219.9612
10.03.2020 21:00:00.000,1648.948,1648.948,1648.948,1648.948,0
10.03.2020 22:00:00.000,1649.448,1654.148,1649.015,1652.948,922230.0053
10.03.2020 23:00:00.000,1652.948,1654.768,1650.478,1652.265,1460190.0578
11.03.2020 00:00:00.000,1652.245,1659.175,1650.545,1656.998,2520740.0322
11.03.2020 01:00:00.000,1657.008,1660.028,1655.188,1658.318,3460000.0381
11.03.2020 02:00:00.000,1658.245,1659.435,1655.718,1656.968,1966459.9895
11.03.2020 03:00:00.000,1656.955,1659.778,1655.845,1658.785,1589849.9489
11.03.2020 04:00:00.000,1658.815,1664.255,1658.085,1662.775,1993860.0063
11.03.2020 05:00:00.000,1662.775,1665.275,1661.165,1661.515,2003509.9983
11.03.2020 06:00:00.000,1661.505,1664.225,1658.198,1663.065,2579819.9177
11.03.2020 07:00:00.000,1663.125,1666.568,1661.675,1662.315,2949899.9119
11.03.2020 08:00:00.000,1662.315,1663.638,1656.375,1656.978,7203670.0249
11.03.2020 09:00:00.000,1656.978,1661.098,1656.395,1660.445,5209090.2328
11.03.2020 10:00:00.000,1660.455,1665.028,1660.055,1664.878,4981609.8213
11.03.2020 11:00:00.000,1664.878,1668.438,1664.435,1665.928,5590779.7813
11.03.2020 12:00:00.000,1665.925,1671.158,1662.965,1665.478,8048390.3885
11.03.2020 13:00:00.000,1665.518,1666.985,1658.485,1662.685,5979650.0206
11.03.2020 14:00:00.000,1662.675,1663.015,1651.805,1653.005,9304590.2252
11.03.2020 15:00:00.000,1652.965,1654.975,1644.125,1649.685,8684336.6623
11.03.2020 16:00:00.000,1649.685,1650.805,1642.505,1644.935,7751821.9948
11.03.2020 17:00:00.000,1644.955,1648.885,1639.748,1643.425,7412380.2185
11.03.2020 18:00:00.000,1643.425,1644.895,1636.755,1638.975,6699369.9074
11.03.2020 19:00:00.000,1638.955,1646.235,1632.935,1636.335,7967460.1555
11.03.2020 20:00:00.000,1636.305,1638.618,1633.440,1634.498,1053699.9702
11.03.2020 21:00:00.000,1634.498,1634.498,1634.498,1634.498,0
11.03.2020 22:00:00.000,1633.778,1641.835,1633.348,1638.248,1511389.9708
11.03.2020 23:00:00.000,1638.255,1644.148,1637.898,1643.655,1803519.9642
12.03.2020 00:00:00.000,1643.645,1648.058,1641.275,1647.158,2536669.9696
12.03.2020 01:00:00.000,1647.148,1649.965,1633.698,1636.075,6606198.7877
12.03.2020 02:00:00.000,1636.065,1638.688,1630.708,1636.698,4430580.1392
12.03.2020 03:00:00.000,1636.668,1638.088,1632.988,1636.898,3177109.9567
12.03.2020 04:00:00.000,1636.875,1637.875,1633.375,1636.055,2219399.929
12.03.2020 05:00:00.000,1636.035,1636.648,1631.258,1633.845,2691629.8866
12.03.2020 06:00:00.000,1633.865,1637.628,1633.368,1636.998,2335400.1045
12.03.2020 07:00:00.000,1637.038,1642.635,1634.315,1639.938,3937649.9653
12.03.2020 08:00:00.000,1639.938,1645.448,1638.485,1642.835,6292590.1413
12.03.2020 09:00:00.000,1642.825,1644.898,1633.355,1633.955,5709430.2177
12.03.2020 10:00:00.000,1633.965,1639.455,1632.365,1636.085,5752689.8384
12.03.2020 11:00:00.000,1636.115,1642.925,1633.805,1634.065,3388060.0929
12.03.2020 12:00:00.000,1634.198,1634.825,1606.028,1610.185,8245519.6381
12.03.2020 13:00:00.000,1610.185,1613.365,1585.915,1596.925,8544221.8781
12.03.2020 14:00:00.000,1597.015,1597.015,1574.375,1587.188,9060319.9005
12.03.2020 15:00:00.000,1587.128,1587.128,1560.508,1566.305,7711979.866
12.03.2020 16:00:00.000,1566.295,1596.108,1565.755,1593.973,6130290.0314
12.03.2020 17:00:00.000,1593.868,1609.778,1585.075,1594.748,10772330.2841
12.03.2020 18:00:00.000,1594.755,1595.318,1574.658,1578.208,9286809.9213
12.03.2020 19:00:00.000,1578.245,1579.548,1567.378,1571.625,7607749.939
12.03.2020 20:00:00.000,1571.578,1579.848,1565.918,1576.748,2141819.9539
12.03.2020 21:00:00.000,1576.748,1576.748,1576.748,1576.748,0
12.03.2020 22:00:00.000,1579.228,1582.288,1572.885,1576.958,1378620.0285
12.03.2020 23:00:00.000,1576.888,1584.238,1573.528,1576.618,1929299.9506
13.03.2020 00:00:00.000,1576.628,1583.038,1576.458,1579.318,1685240.0303
13.03.2020 01:00:00.000,1579.105,1579.118,1552.695,1554.935,5782410.1448
13.03.2020 02:00:00.000,1554.965,1566.818,1551.265,1563.268,4363949.7757
13.03.2020 03:00:00.000,1563.248,1565.355,1556.798,1559.975,3025830.0304
13.03.2020 04:00:00.000,1559.985,1583.848,1557.745,1579.028,4132699.9664
13.03.2020 05:00:00.000,1579.075,1591.228,1575.838,1586.405,4934840.2023
13.03.2020 06:00:00.000,1586.415,1590.735,1581.005,1587.085,4259099.9603
13.03.2020 07:00:00.000,1587.085,1594.208,1584.368,1591.638,4023089.8857
13.03.2020 08:00:00.000,1591.628,1593.505,1578.795,1586.035,4477069.8547
13.03.2020 09:00:00.000,1586.048,1588.235,1581.358,1582.465,4083320.1408
13.03.2020 10:00:00.000,1582.465,1589.608,1582.445,1587.705,5639430.0461
13.03.2020 11:00:00.000,1587.605,1589.168,1577.135,1580.915,7379000.1869
13.03.2020 12:00:00.000,1580.915,1597.825,1579.205,1594.898,9319499.9695
13.03.2020 13:00:00.000,1594.898,1596.655,1566.375,1574.718,8866539.9551
13.03.2020 14:00:00.000,1574.728,1581.878,1562.948,1563.375,12062179.5654
13.03.2020 15:00:00.000,1563.445,1568.378,1521.755,1534.708,12733124.733
13.03.2020 16:00:00.000,1534.598,1538.885,1504.398,1522.905,11983249.6643
13.03.2020 17:00:00.000,1522.905,1523.308,1513.595,1522.175,9871560.0967
13.03.2020 18:00:00.000,1522.205,1537.075,1512.225,1512.368,7322370.0523
13.03.2020 19:00:00.000,1512.358,1525.965,1509.188,1523.508,6496270.1797
13.03.2020 20:00:00.000,1523.648,1532.928,1516.385,1529.348,1768800.0202
13.03.2020 21:00:00.000,1529.348,1529.348,1529.348,1529.348,0
13.03.2020 22:00:00.000,1529.348,1529.348,1529.348,1529.348,0
13.03.2020 23:00:00.000,1529.348,1529.348,1529.348,1529.348,0
14.03.2020 00:00:00.000,1529.348,1529.348,1529.348,1529.348,0
14.03.2020 01:00:00.000,1529.348,1529.348,1529.348,1529.348,0
14.03.2020 02:00:00.000,1529.348,1529.348,1529.348,1529.348,0
14.03.2020 03:00:00.000,1529.348,1529.348,1529.348,1529.348,0
14.03.2020 04:00:00.000,1529.348,1529.348,1529.348,1529.348,0
14.03.2020 05:00:00.000,1529.348,1529.348,1529.348,1529.348,0
14.03.2020 06:00:00.000,1529.348,1529.348,1529.348,1529.348,0
14.03.2020 07:00:00.000,1529.348,1529.348,1529.348,1529.348,0
14.03.2020 08:00:00.000,1529.348,1529.348,1529.348,1529.348,0
14.03.2020 09:00:00.000,1529.348,1529.348,1529.348,1529.348,0
14.03.2020 10:00:00.000,1529.348,1529.348,1529.348,1529.348,0
14.03.2020 11:00:00.000,1529.348,1529.348,1529.348,1529.348,0
14.03.2020 12:00:00.000,1529.348,1529.348,1529.348,1529.348,0
14.03.2020 13:00:00.000,1529.348,1529.348,1529.348,1529.348,0
14.03.2020 14:00:00.000,1529.348,1529.348,1529.348,1529.348,0
14.03.2020 15:00:00.000,1529.348,1529.348,1529.348,1529.348,0
14.03.2020 16:00:00.000,1529.348,1529.348,1529.348,1529.348,0
14.03.2020 17:00:00.000,1529.348,1529.348,1529.348,1529.348,0
14.03.2020 18:00:00.000,1529.348,1529.348,1529.348,1529.348,0
14.03.2020 19:00:00.000,1529.348,1529.348,1529.348,1529.348,0
14.03.2020 20:00:00.000,1529.348,1529.348,1529.348,1529.348,0
14.03.2020 21:00:00.000,1529.348,1529.348,1529.348,1529.348,0
14.03.2020 22:00:00.000,1529.348,1529.348,1529.348,1529.348,0
14.03.2020 23:00:00.000,1529.348,1529.348,1529.348,1529.348,0
15.03.2020 00:00:00.000,1529.348,1529.348,1529.348,1529.348,0
15.03.2020 01:00:00.000,1529.348,1529.348,1529.348,1529.348,0
15.03.2020 02:00:00.000,1529.348,1529.348,1529.348,1529.348,0
15.03.2020 03:00:00.000,1529.348,1529.348,1529.348,1529.348,0
15.03.2020 04:00:00.000,1529.348,1529.348,1529.348,1529.348,0
15.03.2020 05:00:00.000,1529.348,1529.348,1529.348,1529.348,0
15.03.2020 06:00:00.000,1529.348,1529.348,1529.348,1529.348,0
15.03.2020 07:00:00.000,1529.348,1529.348,1529.348,1529.348,0
15.03.2020 08:00:00.000,1529.348,1529.348,1529.348,1529.348,0
15.03.2020 09:00:00.000,1529.348,1529.348,1529.348,1529.348,0
15.03.2020 10:00:00.000,1529.348,1529.348,1529.348,1529.348,0
